01ff7744 02faf2b0 02016a6e 02f7e139 01fe798e 01fd339d 01fd907a 01feeacc 020302cc 010117ad 02f783e7 01022918 00ffb0f5 02f921bf 00fee97c 02f62263 01fae28c 01ffdc99 01ffb13f 01ffcedf 01fc7fa5 00fe702b 01fb7fa9 00041cf1 02fd6dbb 02f7f861 00fe6be4 0101d80f 02fa0893 01fe281f 01032792 00ffe761 02f8291b 0105e0b2 0102866d 0005bd6e 00ff5f29 01fa2e76 01022d0e 00fc84ab
02fc6bbd 02f5ea14 02faf303 02f53692 01fbfd73 02f9a34f 01f88f06 02fbc660 01fcd92b 02f9f775 02f5ce99 01ff3c1b 00fc9d26 02f535ca 02fb4885 02f2f1d7 02f8e13a 01fae3e4 01fbe405 01faad8c 01fb448a 01fb0ada 01f74947 02fdb959 02f7c6a1 02f71bef 02f6d753 01fc2cba 02f451b6 02faa782 02fa0e18 02fb3819 02f7be48 02fdac6a 01fd0e74 02fae524 02fa8bdd 02f63aea 0101bef1 02fbab5f
01016009 02fda5d0 0201b142 02fca58a 0103040f 01ff33d8 01fe86f0 01ffe45f 0102a7a1 0002479e 02fd5c62 0006161d 0102cda9 02fbc7c9 01033c6a 02f8c71a 01fdfb26 000491bf 0103d3a9 0102ddf5 01032f23 0102d22a 00fe5375 0005bb2f 00ffb208 01fc267e 01014d13 000520e0 01fd85fb 0100edf3 010343f9 0102dc20 02fb14a6 0005b7d3 0102c79d 0101a690 01ff7ec1 01fae95d 00062f3a 0102fdfd
02fd6395 01fd607c 01fd1d56 02f7b05e 01fa9c79 01fa17ed 01fe94fd 01fecaa4 01ff3f31 01fc7a10 02f88a74 01ffdae8 0102e088 02f86297 01fe04fd 02f6ee71 02f7c52d 01fb195b 01ff1e72 02faf003 01faaed9 0200728b 01f7fe22 010028b4 02f8eded 02f894f9 02fa555b 02fec001 01fb4c58 01fd3f21 01fb32d5 00ff048f 02fb16a6 01ff183c 02fb29a8 01005b6e 01fc0702 02f7ab0a 01014d9e 00ff11b0
01fd64e4 02fa2422 01fd2d10 02f8ae90 00ff3efb 01fee2dc 02fa0bf3 02f8cefd 01009707 01fc8dfc 01f57bd5 01fec724 01fcd5e9 02f8f612 01fb167b 02f61cfe 01fb4c0c 01fabc1f 0100537b 01fe1c2a 01fbbc0b 01ff48db 02f71840 00ffc86b 01fa89b2 02f8c960 01faba16 01ff4781 02f885c3 02fc1253 01fdd839 01fce5fb 01fa0f7a 010168f3 01fe1e67 02fd5f9f 01fd9094 02f6fe47 00034b74 01fd2692
00048fec 00054faa 0203490b 02fe0101 0104c0e5 02010369 010404e4 010319fe 0005e8e0 01009a37 02fd8bd0 000815e8 0105617d 010098e9 010794d9 01fcd413 00ffae5d 01043c2f 0105734f 0003798f 0106626e 01062cf9 01fe77bd 0007f82b 0101208a 0100db12 0102c9f8 00079a12 01ffc9f3 0101cae8 01053c12 010595a7 02019a13 000af81f 0104d1a3 01034e18 0104833f 01fef33c 000a8fed 0103b575
0104ddcd 0102141f 0108f705 0100032e 0007ca39 010511d9 010785b4 0107df86 01089dec 01074993 00feca3d 01089433 01087472 01007789 00089f84 01fe45c2 00febbb7 01045031 010879fd 0107412e 010827e9 010680f6 010106e5 000c8034 0102b3a7 010424e1 01039d24 010788b4 010511e5 0105294e 000493e3 0008aba6 010350b7 000c7037 010936f8 0107714c 0005f071 00ff1b45 000b544e 010564e4
02026709 00ff308e 010431ec 02fd83e0 0004b382 02015e56 02028661 01ffc836 0102ea76 010263ae 00fe8545 0104195e 01041d86 02fb6c9c 02015904 01fbabce 01fb797b 01010ae6 02036fbc 0102e247 02026927 01048514 01fc007e 0008b09b 00fff4d0 02fa41ca 01fdcedd 0003be4b 01fd3515 00fdd632 01fea84a 0102b4b4 01fda998 00051236 010185df 01034b6e 0001bff1 01fce5ca 0008a9d0 0101c5b6
000328ef 0102860d 01061e96 02fca589 01027d96 0200b6ba 0200c12f 02030738 01041f8f 02000886 00ffb9cf 01081811 0104eecb 02fdba1a 010354c7 00fbf3be 01ffacaf 01042fea 01030fd8 01018b75 02015db7 010316d5 01fcfc12 0003e30c 02006744 01fac03c 0200fe4f 00043e67 00ff2c9b 0001e7c5 0101903b 0006c09c 01fd2ecd 00043f04 0101e924 0101f90b 0102b9ad 01fd39d0 00080063 0008d25b
01fe3ec6 01fd2400 010014b4 02faec25 00ffb177 01fb5ff4 00ff01a7 02fdbf7d 010114f7 02002377 02fa3571 0201b5dd 010515fd 02fa6d25 01ff48fa 02fa9215 00ff46d5 0102b592 0101e786 02010aa9 01feecde 020092a3 01fba998 0005cc2f 01fe363d 02f8c14b 01ff9930 01035903 00fe1cbf 01fbcd5a 0101085e 0101c3bd 02fa5f30 0003142c 01016ae5 000372ce 01fedaec 02fa50ae 0004e8c9 01ffb3b3
010291df 02ff1409 00054d82 01fd89ec 0201d291 0100a664 0200120d 0002f8dc 0004f764 00028906 01fdd2e5 0006a777 01046c40 01fec30f 010154c7 02fafdf0 02fc8ff2 0102f07a 01026e91 0101cb35 01041efa 01013869 01fd030a 0007cb71 02fee28d 02fbb4b4 01ff17e7 0003a0f8 01ff673c 0102ff20 01036a2f 01048ed8 01fc9f29 00076b75 000160e7 010247a7 01012be2 02fbf9e1 00073e8b 00fe7ab9
