fffaf046 0003d2da ffffc95b fffe0673 00018fe5 000265e5 fffee0fb fffc1f1f 00001e80 fffe7ac9 0001386a ffff3994 0002eb31 fffd2dc5 fffc437f fffc810b
fffc7238 fffe54b1 00013417 fff77381 fffcbc03 00011c85 fff85f1d fff9e19e fffad142 fff8d9cf fffd5bbd fff7d706 fff9caa0 fffaff2f fff69f14 ffffec57
00027374 0006985c 0002a4de 0000092d 0000cd88 000962e9 00004a43 ffff6cbe fffed8a1 fffe23f1 0004a962 fffe808d 0004950e ffffd0a0 00009b35 0003b288
fffb8f33 0002a13f 0001edb0 fff97f27 fffd3a8a ffffb506 fff978de fffb03c1 fffe81d3 fffbeaf6 fffe1947 fffc3ff4 fffe79ae fffaa49e fffc0181 fffd67b8
fffb8e10 000397af fffe8350 fffac70b fffc055a fffe479f fff8f236 fff976ac fffc76f4 fffbf56d fffb68d5 fffc5f6b fffc525f fff8ff7e fffae486 fffd5b98
0000c5c2 00066dd4 0005fa42 0000063d 00026d29 0007e8bd fffe8d2a 00011758 00046452 00021681 0006c55a 0005d870 00060966 0002c790 ffffa973 0003d825
00043998 000eacfa 000d661f 0003b3c6 00056d4a 000ac201 00031f06 000697a9 0006671d 00062562 00087980 0005311b 00081dd8 0003ac63 00031476 0006b570
ffff351e 00050920 0003642a 0001007d 0003852b 00048083 fffffe29 fffe1483 00024438 0000a640 0001ff06 00012495 00022b8c fffd9a17 ffff4018 0000136c
00008d09 0004269e 0003073e 00037147 0000e1d6 0005f78e 00020755 00001bb4 000115ec 00026e61 0003e2c9 0001905c 0002b0b5 fffcdd5f 000314f7 00044b0f
00007b46 00061276 0001d13f fffe82c3 fffff67c 0006c6c0 000123c3 fffbf55e fffbf97d 0000ebc8 ffffb0da 00000593 00044d73 fffc3a48 fffd6d09 0001448e
ffffdb7d 0005620f 0003d276 fffcfed9 00049a6e 00077d22 0000a68d 0002b6c6 0001ce58 fffc3bb3 00024251 0001ce79 00027bb9 ffff77b9 fffd4216 00018ce4
fffa518b 0004cc8d 000119e9 fffc90ba ffff461c 00005df4 fff952ca fffacc3c fffc273d fffd6d07 ffffcdb2 fffd449a fffe8f74 fffbb886 fff89e83 fffc7de2
0002113e 0007e055 0005df8e 00015d2e 0004275d 00051281 00011a5c 0001cad8 0000f959 ffff30c2 0006311e 00030f68 0003c81a 00027e32 00003c67 0000b259
00002287 0003a175 00021dad fffec52c 0001890c 0004ffc3 ffff60bb fffce355 0000d107 fffe0f80 0001b44b 0000adab 0001a7bc fffc75d9 fffc38a7 00011475
ffff304b 0004ecfa 00034b6e fffd4a2d 0000561c 0002ac42 fffd4d6d fffb70fc ffffd315 fffde6a3 0002b0e4 fffb2879 ffffc192 00004e40 ffff38d6 ffffe7f8
000022c5 0004f40c 000375a5 00014d61 fffecc2a 0004892c ffff0814 ffff92c7 fffedfcd fffde7ea 00048929 ffff21ea 0002f109 ffffe98f fffe5eb8 00019b43
0004d39e 000908a8 00095cc5 000225b6 00039bca 0006933c 00019ad5 00031d22 000313ed 0001cfa3 00061bbc 00020c6c 0006111c 000447d2 0000b1d2 00031878
00015a86 000c8aa2 000843cf 000539a4 0005d774 000ca663 0004d8cb 0006115e 0006661a 00045ec0 000a2588 0009217c 00073363 00049fc2 00042801 00091758
fff9e802 0002d791 00009fd5 fffd3bb4 0000e903 000092d4 fffb9f59 fffc9e03 fffd6e46 fffd3087 000466fb fffc0f45 00040802 fffb0e57 fff77906 fffe9e64
fffc1ff1 0000e75c 0000bed6 fff99e72 fffceb26 00013416 fffbdc26 fffd42b0 00009733 fffd8e4d ffff3f4e fffb9564 fffda6f3 fffe5eff fffa11aa 0000cbde
0002249d 0006f77a 00050079 00023a59 0002b9cc 000af2ae 00029a14 0001598c 00021d10 00006059 00024712 000250ae 0003a0af 00037c31 fffdb58a 0003f251
fffc9d83 00051245 00012308 fff9d315 00035102 00017dfc fffcadd0 fffa8591 00009955 fffe9404 0002d1a4 fffee0ac fffd954b fffeaa6a fffdfe48 ffff0433
ffffc9b3 000729b0 00001e32 fffde45b 0002e16d 00027955 fffa86c2 fffcc2d2 0002c8be 00001127 00030651 fffdd0fe 0003063d fffea72a fffe0646 ffff72b4
0006846f 000f0cf4 000c3edf 00035ef8 0005ceef 000b1930 00029bfe 00060fa3 00050c73 0005034e 000b22bd 00079178 0009d0de 000376d9 0004332f 00093a95
ffff6df5 0007c73c 00025500 0002b7b4 0001a3b5 0005db59 00017838 0000be75 0000faf3 00001ded 00046b85 00036d7e 00022160 000106ae fffd8599 0001e37c
0000b65b 000bacad 00056659 ffffded8 0003394c 0009445e ffff46cc 0000d5ca 00043a16 00007217 0005fe00 0003d46c 00060968 0003cbfe 000104c8 0002139f
fffd45d0 0007df3c 0003090d 0000e5bc 00035f20 00067432 ffff000f fffee3f4 000278f6 fffd69d7 00047257 00022235 00033174 00001648 fffcdc76 000542de
0003a413 000d80b2 000b88ee 00028f52 0008f71f 000cc790 0006448f 00030aaa 00073113 00045ee0 000b0a7b 000976c5 000b3940 0001f808 0003f540 000747ac
fffcef59 0002c804 00011ed2 fffef21d fffe0096 0000a2c4 fffbd907 ffff77ef fffe2dc2 fff98da1 00021350 fffdbacf ffffc450 ffff226d fffba27e ffffc6b1
fffaed63 0004ed52 ffffc8c8 fffc88ad fffe0896 0001c0e7 fffee765 fffd29f4 fffe586f fff9f264 fffe0ad2 fffd8229 0003f069 fffee1f8 fffb3c77 fffea92a
ffffbe63 0008049d 00070b79 fffec9a8 00022df9 00057bfd fffe7b62 ffffa945 00034088 0002ae1e 0006c113 00036414 00049eb7 0001f1e9 00015f7c 00029c0e
00020b2f 00072677 000303ed fffe6e53 0000aa47 00043eed fffd2ec1 ffffaed4 ffff56d8 ffff20df 0000fdac 0001a070 fffea3b8 fffd9f1b fffea2a5 fffd3d05
